epoch,accuracy,loss,val_accuracy,val_loss
0,0.5426694750785828,1.5796083211898804,0.9223412275314331,0.2697838246822357
1,0.7979156970977783,0.6683590412139893,0.966335117816925,0.11021675169467926
2,0.8639829158782959,0.4474160969257355,0.9821473956108093,0.06771155446767807
3,0.8928143978118896,0.3492480218410492,0.9751338958740234,0.08086491376161575
4,0.9096226692199707,0.2914195954799652,0.9873756766319275,0.049882035702466965
5,0.9211086630821228,0.25202956795692444,0.9885233640670776,0.03723447397351265
6,0.9304150342941284,0.22283703088760376,0.9929865002632141,0.022533323615789413
7,0.9378155469894409,0.19921575486660004,0.9951543211936951,0.01946907304227352
8,0.9416678547859192,0.18327805399894714,0.993241548538208,0.02131306752562523
9,0.9469191431999207,0.1671932190656662,0.9853353500366211,0.04870893806219101
