epoch,accuracy,loss,val_accuracy,val_loss
0,0.5401654243469238,1.6059482097625732,0.9461871981620789,0.23348939418792725
1,0.7824456095695496,0.7335156798362732,0.9744963049888611,0.10130836069583893
2,0.8451673984527588,0.5159074068069458,0.9799795746803284,0.06426054239273071
3,0.8756918907165527,0.4072067141532898,0.9899260401725769,0.041334547102451324
4,0.8953083157539368,0.34349068999290466,0.9880132675170898,0.044019680470228195
5,0.9087204337120056,0.3008396327495575,0.987503170967102,0.04488341510295868
6,0.9173577427864075,0.26857179403305054,0.9934965372085571,0.026853185147047043
7,0.9258024096488953,0.2412644922733307,0.9923489093780518,0.02790648303925991
8,0.930384635925293,0.22583714127540588,0.9945167303085327,0.02345435880124569
9,0.9356460571289062,0.206928551197052,0.9841877222061157,0.0499739795923233
10,0.9411609768867493,0.1912810504436493,0.9946442246437073,0.020929507911205292
11,0.9444252848625183,0.17790693044662476,0.9926038980484009,0.02464289404451847
12,0.947344958782196,0.16862531006336212,0.9934965372085571,0.02337750606238842
13,0.9507410526275635,0.15770462155342102,0.995919406414032,0.014607236720621586
14,0.9522515535354614,0.15276272594928741,0.9960469007492065,0.015139765106141567
15,0.9549177885055542,0.1458580195903778,0.9970670938491821,0.0112304100766778
16,0.95844566822052,0.13214325904846191,0.9956643581390381,0.013942386023700237
17,0.9582023620605469,0.13274124264717102,0.9961744546890259,0.013361850753426552
18,0.9603617191314697,0.12552502751350403,0.9964295029640198,0.014352205209434032
19,0.962804913520813,0.11941010504961014,0.9971945881843567,0.010776059702038765
